run_no,iterations,phase0_us,phase1_us,phase2_us
1,7,70371,1218383,90359
2,7,65565,1116909,90697
3,7,71369,1173660,87208
4,7,63037,1135968,83105
5,7,72526,1201839,82241
6,7,73072,1219884,79776
7,7,69786,1185119,87928
8,7,71905,1140678,84094
9,7,68919,1150027,82514
10,7,71880,1164501,89046
