run_no,weight,serial_full,serial_half,serial_split,omp_half
1,1544012,1862345,1889895,1728500,514491
2,1544012,1845172,1800015,1732420,432549
3,1544012,1745461,1771938,1737998,417260
4,1544012,2172700,1784751,1718402,452408
5,1544012,2718523,1802900,1728016,502634
6,1544012,2259158,1786231,1728322,441816
7,1544012,2128793,1835761,1721512,416807
8,1544012,1829856,1800250,1719550,407257
9,1544012,1854245,1785916,1708504,408755
10,1544012,1785742,1765618,1814039,411925
