run_no,iterations,phase0_us,phase1_us,phase2_us
1,13,484615,533368,206597
2,13,489081,542966,211537
3,13,472790,547061,223730
4,13,469708,539222,210618
5,13,493718,540800,212160
6,13,457368,536285,208774
7,13,476400,565065,209656
8,13,473258,545776,210901
9,13,484257,535444,213198
10,13,476136,542368,214060
