run_no,iterations,phase0_us,phase1_us,phase2_us
1,6,1736,2455,1229
2,6,1482,2480,1592
3,6,1559,2569,1196
4,6,3272,2718,2989
5,6,2589,2434,1737
6,6,3349,3087,2261
7,6,2474,5069,1539
8,6,2456,5575,7013
9,6,1877,3026,1556
10,6,2726,3157,6084
