run_no,weight,serial_full,serial_half,serial_split,omp_half
1,951569,16674,14048,13684,4661
2,951569,15184,12123,13588,5850
3,951569,13995,12200,17263,2924
4,951569,15623,14000,13234,5019
5,951569,14128,12037,14863,3029
6,951569,16572,12453,13000,2883
7,951569,14430,14850,14730,4973
8,951569,16003,11893,12992,3082
9,951569,13972,12283,14732,2963
10,951569,14714,15267,13225,5327
