run_no,weight,serial_full,serial_half,serial_split,omp_half
1,2806989831,553654,411801,470434,104371
2,2806989831,547947,453462,472026,118113
3,2806989831,521998,443391,471950,107937
4,2806989831,525350,417584,475747,115658
5,2806989831,527753,413652,474207,105609
6,2806989831,529491,417892,476568,116214
7,2806989831,537386,413662,475480,115576
8,2806989831,533986,410947,474415,105596
9,2806989831,529139,413480,471029,109273
10,2806989831,557409,418123,473398,113887
