run_no,iterations,phase0_us,phase1_us,phase2_us
1,12,19910,46496,25072
2,12,22268,61004,25220
3,12,22107,57652,25073
4,12,21992,63108,27680
5,12,23463,55142,24297
6,12,23570,57594,31315
7,12,23578,57048,31986
8,12,20280,55038,27632
9,12,21427,57403,27732
10,12,22739,57137,30197
