run_no,iterations,phase0_us,phase1_us,phase2_us
1,10,208947,2988100,273429
2,10,218903,2938499,251278
3,10,200248,2879105,270056
4,10,220313,2907338,259853
5,10,246851,2965776,306337
6,10,218235,2916610,260068
7,10,199656,2981128,278735
8,10,208525,2871323,249873
9,10,201672,3058330,248022
10,10,226278,2921826,245892
