run_no,iterations,phase0_us,phase1_us,phase2_us
1,6,2261,5469,1587
2,6,3214,6357,1934
3,6,1417,4909,3511
4,6,3125,4985,3836
5,6,2336,6182,4690
6,6,1304,5386,1172
7,6,839,5267,1127
8,6,1022,7802,3107
9,6,4419,6173,1201
10,6,1195,5505,1229
