run_no,weight,serial_full,serial_half,serial_split,omp_half
1,693935344,60327,36460,36323,10231
2,693935344,54056,38993,37690,12067
3,693935344,55016,44410,37166,9966
4,693935344,44591,40905,37302,12044
5,693935344,42593,38534,36619,13395
6,693935344,40365,39238,36804,8062
7,693935344,40664,40813,36523,7336
8,693935344,39493,37548,39293,12130
9,693935344,40040,36509,39529,11984
10,693935344,40266,37397,36655,8174
