run_no,iterations,phase0_us,phase1_us,phase2_us
1,10,5450,6928,3010
2,10,5962,12389,13039
3,10,7616,8276,6689
4,10,6849,8601,7519
5,10,6122,10102,7090
6,10,8093,9828,2985
7,10,10177,13992,5075
8,10,7217,10400,4162
9,10,7715,7745,5033
10,10,7745,9165,5305
