run_no,weight,serial_full,serial_half,serial_split,omp_half
1,262559014,87481,68738,87313,19011
2,262559014,80360,68368,78703,32883
3,262559014,78880,69853,78119,23446
4,262559014,79909,69156,75449,23613
5,262559014,79296,68709,83656,24095
6,262559014,79924,68415,82561,21809
7,262559014,80662,70471,77179,29923
8,262559014,79468,81076,82079,22728
9,262559014,102458,77233,77151,21277
10,262559014,85129,85369,78459,22966
