run_no,weight,serial_full,serial_half,serial_split,omp_half
1,951569,52448,33448,34667,10204
2,951569,44203,33008,36314,5839
3,951569,44279,32250,36047,5856
4,951569,42941,36499,36404,6479
5,951569,43630,33614,36326,9494
6,951569,42783,33006,36624,9022
7,951569,42168,32608,36597,8758
8,951569,43792,34380,36214,6369
9,951569,43182,33626,35988,7858
10,951569,43632,32977,36271,9647
